Community,Parish,City,Latitude,Longitude,Apartment,House,Townhouse,Total
Meadowbrook Estate,St. Andrew,Kingston,18.0477796,-76.8187557,0,3,0,3
Forest Hill,St. Andrew,Kingston,18.0391345,-76.7567368,0,1,0,1
Three Oaks Garden,St. Andrew,Kingston,18.0329576,-76.8236366,0,0,0,0
Grants Pen,St. Andrew,Kingston,18.0329868,-76.7874946,2,0,1,3
Havendale,St. Andrew,Kingston,18.0516394,-76.8115458,0,0,0,0
Hope Pastures,St. Andrew,Kingston,18.0232611,-76.7581794,0,1,0,1
Plantation Heights,St. Andrew,Kingston,18.0413366,-76.8565272,3,0,0,3
Cherry Gardens,St. Andrew,Kingston,18.0434374,-76.7769324,1,1,0,2
Golden Spring,St. Andrew,Kingston,18.0901601,-76.8014512,0,1,0,1
Red Hills,St. Andrew,Kingston,18.0736111,-76.8611111,3,2,0,5
Papine,St. Andrew,Kingston,18.0115978,-76.736538,0,0,0,0
Constant Spring,St. Andrew,Kingston,18.0585596,-76.7855866,1,1,0,2
Stony Hill,St. Andrew,Kingston,18.0736829,-76.7942403,0,0,0,0
Mona,St. Andrew,Kingston,18.0141493,-76.7524087,1,4,0,5
Barbican,St. Andrew,Kingston,18.0256117,-76.7711626,2,1,0,3
Liguanea,St. Andrew,Kingston,18.0147484,-76.7610647,1,1,0,2
Norbrook,St. Andrew,Kingston,18.0554552,-76.782702,0,0,0,0
Waterloo,St. Andrew,Kingston,18.0173136,-76.7920127,7,3,1,11
Jack's Hill,St. Andrew,Kingston,18.0360302,-76.7538514,0,2,0,2
Beverly Hills,St. Andrew,Kingston,18.0077875,-76.7653924,0,0,1,1
Mountain View,St. Andrew,Kingston,17.9914636,-76.7661168,0,0,0,0
Half-Way Tree,St. Andrew,Kingston,18.0063193,-76.7789894,0,1,0,1
Duhaney Park,St. Andrew,Kingston,18.0296291,-76.8504744,0,2,0,2
Eastwood,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Woodford,St. Andrew,Kingston,17.9828591,-76.780429,0,0,0,0
Spring Village,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Eltham Vista,St. Andrew,Kingston,18.0197006,-76.9707869,0,0,0,0
Washington Gardens,St. Andrew,Kingston,18.0234226,-76.844708,0,0,0,0
New Kingston,St. Andrew,Kingston,18.0089836,-76.782702,1,0,0,1
Vineyard Town,St. Andrew,Kingston,17.9898081,-76.7783748,0,0,0,0
Pembroke Hall,St. Andrew,Kingston,18.0295934,-76.8288489,0,1,0,1
Irish Town,St. Andrew,Kingston,18.0504719,-76.7260416,0,0,0,0
Rollington Town,St. Andrew,Kingston,17.9775951,-76.7697201,0,0,0,0
Rockfort,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Armadale,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Lawrence Tavern,St. Andrew,Kingston,18.1271733,-76.8456717,0,3,0,3
Seaview Gardens,St. Andrew,Kingston,18.0028906,-76.8418246,0,1,0,1
Bedward Gardens,St. Andrew,Kingston,17.9970504,-76.7349989,0,0,0,0
Gordon Town,St. Andrew,Kingston,18.0354673,-76.7195828,0,0,0,0
Bull Bay,St. Andrew,Kingston,17.9429207,-76.6672602,1,1,0,2
August Town,St. Andrew,Kingston,17.9930231,-76.7408666,0,0,0,0
Waterhouse,St. Andrew,Kingston,18.0287171,-76.8437247,1,2,0,3
Mahogany,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Cross Roads,St. Andrew,Kingston,17.9928319,-76.7906347,0,0,0,0
Greenwich Town,St. Andrew,Kingston,17.9815507,-76.8165928,0,0,0,0
Olympic Gardens,St. Andrew,Kingston,18.0183711,-76.8346161,0,0,0,0
Dungle,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Delacree Park,St. Andrew,Kingston,17.9918663,-76.820008,1,1,0,2
Forest Glen,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Port Royal,St. Andrew,Kingston,17.9656291,-76.7926431,0,0,0,0
Goulden Gardens,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Charlton,St. Andrew,Kingston,18.0382841,-76.7940918,2,1,1,4
Queensborough,St. Andrew,Kingston,18.0404902,-76.8231373,0,0,0,0
Barracks,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Highgate,St. Andrew,Kingston,18.0982911,-76.87003,0,0,0,0
Cooreville Gardens,St. Andrew,Kingston,18.0236208,-76.8475912,0,0,1,1
Mavis Bank,St. Andrew,Kingston,18.0235025,-76.6626207,0,0,0,0
August Town,St. Andrew,Kingston,17.9930231,-76.7408666,0,0,0,0
Belgrade Heights,St. Andrew,Kingston,18.0617072,-76.8101038,0,1,0,1
Belmont,St. Andrew,Kingston,18.0019632,-76.7845351,1,1,0,2
Boswell Heights,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Burnt Shop,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Callaloo Bed,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Cane River,St. Andrew,Kingston,17.9652078,-76.6924483,0,0,0,0
Claypole,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Coakley,St. Andrew,Kingston,18.1624712,-76.828128,0,0,0,0
Content,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Cooper's Hill,St. Andrew,Kingston,18.0740024,-76.8620064,0,0,0,0
Cross Roads,St. Andrew,Kingston,17.9928319,-76.7906347,0,0,0,0
Cuba Ridge,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Downcastle,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Essex Hall,St. Andrew,Kingston,18.116613,-76.8635441,0,0,0,0
Fern Hill,St. Andrew,Kingston,18.142651,-76.853681,0,0,0,0
Florence Hill,St. Andrew,Kingston,18.1471918,-76.8427083,0,0,0,0
Forest Hills,St. Andrew,Kingston,18.0558079,-76.8254762,0,2,1,3
George Mason Drive,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Golden Spring,St. Andrew,Kingston,18.0901601,-76.8014512,0,1,0,1
Golden Valley,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Gordon Town,St. Andrew,Kingston,18.0354673,-76.7195828,0,0,0,0
Goulbourne,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Grant Hill,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Greenwich,St. Andrew,Kingston,18.0745061,-76.7254557,0,0,0,0
Half Way Tree,St. Andrew,Kingston,18.0063193,-76.7789894,0,0,0,0
Halls Gaen,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
Havendale,St. Andrew,Kingston,18.0516394,-76.8115458,0,0,0,0
Hughenden,St. Andrew,Kingston,18.0314148,-76.8183952,16,21,5,42
Independence Park,St. Andrew,Kingston,18.0013755,-76.7725427,0,0,1,1
Irish Town,St. Andrew,Kingston,18.0504719,-76.7260416,0,0,0,0
Jacks Hill,St. Andrew,Kingston,18.0360302,-76.7538514,0,0,0,0
King Weston,St. Andrew,Kingston,18.0391345,-76.7567368,0,0,0,0
